Date,Team,VegasLine
20151212,Hornets,202
20151212,Celtics,202
20151212,Mavericks,207
20151212,Wizards,207
20151212,Nets,205.5
20151212,Clippers,205.5
20151212,Pistons,204
20151212,Pacers,204
20151212,Rockets,212
20151212,Lakers,212
20151212,Trailblazers,199
20151212,Knicks,199
20151213,Heat,192
20151213,Grizzlies,192
20151213,Raptors,192.5
20151213,Seventysixers,192.5
20151213,Suns,209.5
20151213,Timberwolves,209.5
20151213,Thunder,202.5
20151213,Jazz,202.5
20151214,Bulls,195
20151214,Seventysixers,195
20151214,Grizzlies,201
20151214,Wizards,201
20151214,Hawks,191
20151214,Heat,191
20151214,Mavericks,208.5
20151214,Suns,208.5
20151214,Nets,198
20151214,Magic,198
20151214,Nuggets,209.5
20151214,Rockets,209.5
20151214,Pacers,200.5
20151214,Raptors,200.5
20151214,Pistons,204
20151214,Clippers,204
20151214,Spurs,186.5
20151214,Jazz,186.5
20151214,Trailblazers,211
20151214,Pelicans,211
20151215,Celtics,201.5
20151215,Cavaliers,201.5
20151215,Kings,219
20151215,Rockets,219
20151215,Lakers,198.5
20151215,Bucks,198.5
20151215,Timberwolves,204.5
20151215,Nuggets,204.5
20151216,Bulls,194.5
20151216,Grizzlies,194.5
20151216,Clippers,197.5
20151216,Bucks,197.5
20151216,Hawks,199.5
20151216,Seventysixers,199.5
20151216,Jazz,201
20151216,Pelicans,201
20151216,Knicks,200
20151216,Timberwolves,200
20151216,Magic,198
20151216,Hornets,198
20151216,Nets,192
20151216,Heat,192
20151216,Pacers,207
20151216,Mavericks,207
20151216,Pistons,199.5
20151216,Celtics,199.5
20151216,Spurs,197.5
20151216,Wizards,197.5
20151216,Thunder,207.5
20151216,Trailblazers,207.5
20151216,Warriors,219
20151216,Suns,219
20151217,Cavaliers,204
20151217,Thunder,204
20151217,Hornets,195.5
20151217,Raptors,195.5
20151217,Lakers,215
20151217,Rockets,215
20151218,Bulls,197
20151218,Pistons,197
20151218,Celtics,206.5
20151218,Hawks,206.5
20151218,Heat,187.5
20151218,Raptors,187.5
20151218,Jazz,194
20151218,Nuggets,194
20151218,Magic,202
20151218,Trailblazers,202
20151218,Mavericks,197
20151218,Grizzlies,197
20151218,Pacers,205.5
20151218,Nets,205.5
20151218,Seventysixers,195
20151218,Knicks,195
20151218,Spurs,195.5
20151218,Clippers,195.5
20151218,Suns,213.5
20151218,Pelicans,213.5
20151218,Timberwolves,213.5
20151218,Kings,213.5
20151218,Warriors,209.5
20151218,Bucks,209.5
