team,points,op team,op points,home away,season,vegas line,o/u margin,vegas line total,assists,ats streak,attendance,biggest lead,blocks,conference west/east,defensive rebounds,fast break points,field goals attempted,field goal percentage,fouls,free throws made,free throw percentage,lead changes,losses,margin after the first,margin at the half,matchup losses,matchup wins,offensive rebounds,officials,ou streak,overtime,points in the paint,rest,site streak,steals,streak,team rebounds,three pointers made,time of game,turnovers,wins,win percentage,matchup,o/u,WL,o/u margin class,time zone__C,time zone__M,time zone__P,division__Atlantic,division__Central,division__Northwest,division__Pacific,division__Southeast,division__Southwest,day__Friday,day__Monday,day__Saturday,day__Sunday,day__Thursday,day__Tuesday,day__Wednesday
Pistons,104,Grizzlies,102,1,2017,-8.5,3.0,203.0,20.0,1,17481.0,8.0,4.0,0,37.0,8.0,76.0,46.05,19.0,27.0,72.97,21.0,26,2.0,0.0,0,0,4.0,"['Rodney Mott', 'Jason Goldenberg', 'Leroy Richardson']",3,0.0,48.0,1.0,1,8.0,1,9.0,7.0,136.0,7.0,23,88.46,Pistons Grizzlies,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Grizzlies,102,Pistons,104,0,2017,8.5,3.0,203.0,22.0,2,17481.0,7.0,3.0,1,39.0,6.0,96.0,41.67,24.0,14.0,100.0,21.0,32,-2.0,0.0,0,0,10.0,"['Rodney Mott', 'Jason Goldenberg', 'Leroy Richardson']",2,0.0,50.0,0.0,-1,3.0,-1,8.0,8.0,136.0,9.0,18,56.25,Grizzlies Pistons,1,-1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Spurs,91,Rockets,102,1,2017,2.5,-15.0,208.0,21.0,-1,18418.0,4.0,5.0,1,37.0,6.0,83.0,42.17,12.0,15.0,88.24,1.0,19,-13.0,-16.0,1,0,9.0,"['John Goble', 'Mark Ayotte', 'Kevin Cutler']",2,0.0,48.0,1.0,3,7.0,2,9.0,6.0,128.0,16.0,34,178.95,Spurs Rockets,0,-1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Rockets,102,Spurs,91,0,2017,-2.5,-15.0,208.0,20.0,-3,18418.0,19.0,7.0,1,31.0,15.0,83.0,44.58,16.0,14.0,82.35,1.0,13,13.0,16.0,0,1,7.0,"['John Goble', 'Mark Ayotte', 'Kevin Cutler']",0,0.0,30.0,1.0,2,10.0,2,6.0,14.0,128.0,9.0,36,276.92,Rockets Spurs,0,1,-1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
Timberwolves,108,Bucks,89,1,2017,-6.0,-11.0,208.0,27.0,1,17199.0,24.0,7.0,1,35.0,7.0,78.0,53.85,15.0,17.0,85.0,0.0,22,6.0,21.0,1,0,4.0,"['Ken Mauer', 'Pat Fraher', 'Jonathan Sterling']",-3,0.0,50.0,1.0,-2,8.0,-2,6.0,7.0,127.0,13.0,32,145.45,Timberwolves Bucks,0,1,-1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Bucks,89,Timberwolves,108,0,2017,6.0,-11.0,208.0,19.0,3,17199.0,0.0,1.0,0,28.0,10.0,85.0,37.65,21.0,19.0,76.0,0.0,22,-6.0,-21.0,0,1,15.0,"['Ken Mauer', 'Pat Fraher', 'Jonathan Sterling']",-3,0.0,42.0,2.0,1,6.0,4,10.0,6.0,127.0,15.0,27,122.73,Bucks Timberwolves,0,-1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Wizards,122,Raptors,119,1,2017,3.5,26.5,214.5,30.0,2,15599.0,9.0,2.0,0,32.0,16.0,85.0,51.76,21.0,24.0,92.31,7.0,22,-7.0,-7.0,1,1,12.0,"['Tom Washington', 'Karl Lane', 'Haywoode Workman']",-1,0.0,42.0,1.0,1,10.0,2,6.0,10.0,144.0,16.0,28,127.27,Wizards Raptors,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
Raptors,119,Wizards,122,0,2017,-3.5,26.5,214.5,20.0,-1,15599.0,12.0,3.0,0,24.0,5.0,83.0,53.01,26.0,19.0,79.17,7.0,15,7.0,7.0,1,1,8.0,"['Tom Washington', 'Karl Lane', 'Haywoode Workman']",-1,0.0,46.0,1.0,3,7.0,2,5.0,12.0,144.0,18.0,34,226.67,Raptors Wizards,1,-1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Bucks,92,Knicks,90,1,2017,-3.0,-24.0,206.0,18.0,-1,18717.0,8.0,8.0,0,32.0,11.0,76.0,43.42,21.0,19.0,73.08,22.0,23,-1.0,0.0,0,0,4.0,"['David Guthrie', 'Sean Corbin', 'Haywoode Workman']",-4,0.0,40.0,0.0,-1,10.0,-1,7.0,7.0,131.0,11.0,27,117.39,Bucks Knicks,0,1,-1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Knicks,90,Bucks,92,0,2017,3.0,-24.0,206.0,24.0,-1,18717.0,5.0,4.0,0,39.0,6.0,89.0,40.45,21.0,13.0,76.47,22.0,29,1.0,0.0,0,0,18.0,"['David Guthrie', 'Sean Corbin', 'Haywoode Workman']",-3,0.0,52.0,1.0,-1,7.0,-1,7.0,5.0,131.0,19.0,23,79.31,Knicks Bucks,0,-1,-1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
